,account_payment_method,approval_amount,scheduled_payment_amt,days_past_due,past_due_amt,age,zip_code,city,sms_contacted_ts,state,years_at_current_residence,months_at_current_residence,source,email_contacted_ts,payment_frequency,number_of_payments,redeem_ts
20,2.0,94.0,107.12,0,0.0,40.0,78414,308.0,0.0,41.0,3,0,2.0,1.0,0.0,26,1.0
21,2.0,565.0,40.81,0,0.0,26.0,77904,1561.0,0.0,41.0,1,0,2.0,1.0,4.0,52,1.0
22,2.0,316.0,23.89,0,0.0,41.0,32821,1083.0,0.0,9.0,2,0,6.0,1.0,4.0,52,1.0
23,2.0,94.0,12.68,0,0.0,31.0,77034,669.0,1.0,41.0,0,5,0.0,1.0,4.0,52,1.0
24,2.0,87.0,86.11,0,0.0,26.0,37404,232.0,1.0,40.0,6,0,5.0,1.0,0.0,26,1.0
25,2.0,622.0,183.76,0,0.0,22.0,98550,664.0,0.0,45.0,1,0,2.0,1.0,2.0,52,1.0
26,2.0,625.0,142.72,0,0.0,50.0,39730,2.0,1.0,24.0,1,0,2.0,1.0,0.0,52,1.0
27,2.0,166.0,60.23,0,0.0,36.0,89122,790.0,0.0,31.0,1,3,2.0,1.0,1.0,26,1.0
28,2.0,16.0,10.13,0,0.0,22.0,95991,1675.0,0.0,4.0,1,0,2.0,1.0,4.0,52,1.0
29,2.0,379.0,134.37,0,0.0,23.0,33612,1479.0,0.0,9.0,0,2,2.0,1.0,3.0,24,1.0
30,2.0,150.0,42.69,0,0.0,40.0,30274,1258.0,1.0,10.0,0,1,2.0,1.0,0.0,26,1.0
31,2.0,296.0,48.45,0,0.0,54.0,77441,528.0,0.0,41.0,6,0,0.0,1.0,0.0,12,1.0
32,1.0,675.0,101.17,0,0.0,26.0,93266,1450.0,1.0,4.0,6,0,2.0,1.0,0.0,26,1.0
33,2.0,119.0,49.59,0,0.0,41.0,44125,264.0,1.0,33.0,2,0,5.0,1.0,3.0,24,1.0
34,2.0,67.0,69.62,0,0.0,27.0,85741,1526.0,1.0,3.0,0,1,2.0,1.0,0.0,26,1.0
35,2.0,130.0,25.0,0,0.0,41.0,6716,1650.0,1.0,6.0,2,0,2.0,1.0,4.0,52,1.0
36,2.0,166.0,124.45,0,0.0,57.0,11801,640.0,1.0,32.0,2,0,2.0,1.0,4.0,26,1.0
37,2.0,171.0,238.35,0,0.0,51.0,30058,827.0,0.0,10.0,5,0,2.0,1.0,3.0,52,1.0
38,2.0,290.0,95.51,0,0.0,27.0,21220,927.0,1.0,20.0,3,0,2.0,1.0,0.0,26,1.0
39,2.0,176.0,109.39,0,0.0,30.0,77034,669.0,1.0,41.0,0,1,2.0,1.0,1.0,26,1.0
40,2.0,478.0,77.04,0,0.0,35.0,92227,148.0,1.0,4.0,0,2,2.0,1.0,3.0,24,1.0
41,2.0,201.0,145.16,0,0.0,42.0,11236,162.0,1.0,32.0,6,0,2.0,1.0,0.0,26,1.0
42,2.0,151.0,90.37,0,0.0,34.0,92395,1562.0,1.0,4.0,1,0,2.0,1.0,0.0,26,1.0
43,2.0,274.0,23.86,0,0.0,21.0,33173,923.0,1.0,9.0,1,6,2.0,1.0,4.0,52,1.0
44,2.0,704.0,221.04,0,0.0,33.0,93434,584.0,1.0,4.0,4,8,2.0,1.0,1.0,52,1.0
45,2.0,902.0,123.36,0,0.0,26.0,77375,1514.0,1.0,41.0,5,3,0.0,1.0,3.0,24,1.0
46,2.0,34.0,22.34,0,0.0,41.0,36104,961.0,1.0,1.0,6,0,2.0,0.0,0.0,26,1.0
47,2.0,204.0,56.83,0,0.0,63.0,80011,73.0,0.0,5.0,5,0,6.0,1.0,4.0,52,1.0
48,2.0,40.0,18.39,0,0.0,33.0,98408,1474.0,1.0,45.0,6,0,2.0,1.0,3.0,24,1.0
49,1.0,1434.0,207.31,0,0.0,47.0,21229,89.0,1.0,20.0,5,10,2.0,1.0,0.0,26,1.0
50,2.0,1011.0,177.09,0,0.0,53.0,90605,1622.0,0.0,4.0,16,9,2.0,1.0,0.0,26,1.0
51,2.0,1089.0,69.52,0,0.0,21.0,78516,17.0,1.0,41.0,3,0,2.0,1.0,4.0,52,1.0
52,2.0,1218.0,241.82,0,0.0,21.0,77037,669.0,1.0,41.0,6,11,2.0,1.0,0.0,26,1.0
53,2.0,840.0,193.65,0,0.0,39.0,94061,1234.0,1.0,4.0,6,0,0.0,1.0,3.0,24,1.0
54,2.0,932.0,263.72,0,0.0,38.0,77027,669.0,0.0,41.0,2,1,0.0,1.0,1.0,52,1.0
55,2.0,1818.0,164.93,0,0.0,32.0,21225,89.0,0.0,20.0,3,0,2.0,1.0,0.0,26,1.0
56,2.0,214.0,183.92,0,0.0,68.0,83642,917.0,1.0,13.0,0,10,2.0,1.0,1.0,24,1.0
57,2.0,86.0,21.41,0,0.0,27.0,67401,1308.0,0.0,16.0,15,0,2.0,1.0,0.0,26,1.0
58,1.0,15.0,28.82,0,0.0,29.0,89129,790.0,1.0,31.0,6,0,2.0,1.0,0.0,26,1.0
59,2.0,234.0,35.21,0,0.0,28.0,98270,892.0,1.0,45.0,2,0,2.0,1.0,0.0,26,1.0
60,2.0,260.0,35.73,0,0.0,23.0,79927,1396.0,1.0,41.0,6,0,2.0,1.0,0.0,26,1.0
61,2.0,640.0,326.7,0,0.0,38.0,76016,60.0,0.0,41.0,2,0,2.0,1.0,1.0,12,1.0
62,2.0,221.0,83.98,0,0.0,37.0,78108,250.0,1.0,41.0,1,1,2.0,1.0,0.0,26,1.0
63,2.0,253.0,24.27,0,0.0,49.0,84119,1608.0,1.0,42.0,6,0,6.0,1.0,4.0,52,1.0
64,2.0,100.0,117.74,0,0.0,62.0,80234,1051.0,1.0,5.0,2,0,6.0,1.0,3.0,24,1.0
65,2.0,546.0,120.24,0,0.0,34.0,73120,1071.0,1.0,34.0,2,3,2.0,1.0,0.0,26,1.0
66,2.0,71.0,55.38,0,0.0,30.0,76087,1590.0,1.0,41.0,0,2,2.0,1.0,0.0,26,1.0
67,2.0,230.0,87.62,0,0.0,60.0,81212,194.0,1.0,5.0,1,5,2.0,0.0,3.0,24,1.0
68,2.0,662.0,100.84,0,0.0,45.0,93535,781.0,1.0,4.0,3,0,2.0,1.0,3.0,24,1.0
69,2.0,585.0,292.21,0,0.0,45.0,33029,946.0,1.0,9.0,0,1,2.0,1.0,1.0,26,1.0
70,2.0,173.0,115.79,0,0.0,43.0,85033,1147.0,1.0,3.0,1,0,2.0,1.0,0.0,26,1.0
71,2.0,455.0,118.91,0,0.0,28.0,77075,669.0,1.0,41.0,6,0,2.0,1.0,0.0,26,1.0
72,2.0,266.0,113.88,0,0.0,62.0,32807,1083.0,1.0,9.0,4,0,2.0,1.0,1.0,12,1.0
73,2.0,142.0,141.06,0,0.0,45.0,78227,1316.0,1.0,41.0,6,11,2.0,1.0,0.0,26,1.0
74,2.0,373.0,68.48,0,0.0,23.0,78503,903.0,1.0,41.0,6,11,2.0,1.0,4.0,52,1.0
75,2.0,401.0,95.39,0,0.0,21.0,76201,362.0,1.0,41.0,5,10,2.0,1.0,4.0,52,1.0
76,2.0,48.0,42.27,0,0.0,38.0,92081,1565.0,1.0,4.0,1,1,2.0,1.0,0.0,26,1.0
77,0.0,263.0,129.19,0,0.0,33.0,20706,554.0,0.0,20.0,3,0,2.0,1.0,1.0,12,1.0
78,2.0,51.0,31.66,0,0.0,41.0,77048,669.0,1.0,41.0,1,6,2.0,1.0,3.0,24,1.0
79,2.0,433.0,87.48,0,0.0,27.0,77015,669.0,0.0,41.0,6,0,2.0,1.0,0.0,26,1.0
80,2.0,998.0,141.92,0,0.0,30.0,77059,669.0,0.0,41.0,4,0,5.0,1.0,0.0,26,1.0
81,2.0,140.0,44.78,0,0.0,61.0,33183,923.0,0.0,9.0,6,11,2.0,1.0,1.0,12,1.0
82,2.0,684.0,69.57,0,0.0,27.0,77627,999.0,1.0,41.0,0,7,5.0,1.0,4.0,52,1.0
83,2.0,522.0,30.21,0,0.0,21.0,91764,1077.0,1.0,4.0,6,0,6.0,1.0,4.0,52,1.0
84,1.0,1223.0,101.19,0,0.0,33.0,30296,1258.0,1.0,10.0,2,3,2.0,1.0,4.0,52,1.0
85,0.0,620.0,170.99,0,0.0,48.0,76528,543.0,0.0,41.0,3,0,6.0,1.0,1.0,12,1.0
86,2.0,322.0,43.04,0,0.0,61.0,89166,790.0,0.0,31.0,1,0,2.0,1.0,0.0,26,1.0
87,2.0,175.0,65.94,0,0.0,29.0,84336,1394.0,0.0,42.0,1,3,2.0,1.0,0.0,26,1.0
88,2.0,230.0,29.79,0,0.0,23.0,88021,48.0,0.0,30.0,4,9,2.0,1.0,3.0,24,1.0
89,2.0,401.0,30.75,0,0.0,32.0,89118,790.0,0.0,31.0,0,6,2.0,1.0,4.0,52,1.0
90,2.0,55.0,109.0,0,0.0,57.0,91773,1321.0,1.0,4.0,3,2,2.0,1.0,2.0,12,1.0
91,2.0,1137.0,345.0,0,0.0,28.0,11420,1408.0,1.0,32.0,0,4,5.0,1.0,1.0,52,1.0
92,1.0,1141.0,140.38,0,0.0,43.0,34787,1645.0,1.0,9.0,1,0,2.0,1.0,0.0,26,1.0
93,2.0,171.0,25.13,0,0.0,57.0,66441,722.0,1.0,16.0,3,0,5.0,1.0,3.0,24,1.0
94,2.0,70.0,180.16,0,0.0,37.0,59102,122.0,1.0,25.0,0,4,2.0,1.0,1.0,52,1.0
95,2.0,23.0,58.97,0,0.0,28.0,32686,1229.0,0.0,9.0,0,6,2.0,1.0,0.0,24,1.0
96,2.0,361.0,64.17,0,0.0,28.0,48223,369.0,0.0,22.0,4,0,2.0,1.0,3.0,24,1.0
97,2.0,1321.0,65.61,0,0.0,35.0,32792,1647.0,1.0,9.0,6,0,2.0,1.0,4.0,52,1.0
98,2.0,185.0,30.41,0,0.0,29.0,92243,424.0,1.0,4.0,3,0,2.0,1.0,4.0,52,1.0
99,2.0,170.0,130.48,0,0.0,51.0,34203,144.0,1.0,9.0,2,0,6.0,1.0,1.0,52,1.0
100,2.0,80.0,78.24,0,0.0,35.0,92083,1565.0,0.0,4.0,3,0,2.0,1.0,1.0,12,1.0
101,1.0,520.0,400.0,0,0.0,60.0,89147,790.0,1.0,31.0,11,0,2.0,1.0,1.0,12,1.0
102,2.0,30.0,18.67,0,0.0,40.0,34743,750.0,1.0,9.0,3,2,6.0,1.0,4.0,52,1.0
103,2.0,495.0,89.05,0,0.0,42.0,10032,1015.0,1.0,32.0,6,0,0.0,1.0,0.0,26,1.0
104,2.0,50.0,183.7,0,0.0,50.0,32222,702.0,1.0,9.0,1,0,2.0,1.0,1.0,12,1.0
105,2.0,102.0,20.22,0,0.0,27.0,37722,311.0,0.0,40.0,6,0,2.0,1.0,0.0,26,1.0
106,2.0,49.0,79.02,0,0.0,55.0,33127,923.0,1.0,9.0,6,0,2.0,1.0,0.0,26,1.0
107,2.0,1067.0,321.64,0,0.0,59.0,11207,162.0,1.0,32.0,6,11,0.0,1.0,1.0,26,1.0
108,2.0,807.0,147.15,0,0.0,46.0,21216,89.0,1.0,20.0,6,0,2.0,1.0,0.0,26,1.0
109,2.0,811.0,289.4,0,0.0,35.0,8080,1371.0,1.0,36.0,3,0,0.0,1.0,1.0,12,1.0
110,2.0,861.0,77.62,0,0.0,27.0,37076,632.0,1.0,40.0,0,7,6.0,1.0,4.0,52,1.0
111,2.0,60.0,59.69,0,0.0,38.0,11694,1268.0,1.0,32.0,10,0,6.0,1.0,0.0,26,1.0
112,2.0,289.0,64.16,0,0.0,35.0,92335,489.0,0.0,4.0,6,11,6.0,1.0,4.0,52,1.0
113,2.0,170.0,135.51,0,0.0,24.0,85730,1526.0,1.0,3.0,1,0,2.0,1.0,0.0,26,1.0
114,1.0,440.0,78.09,0,0.0,27.0,84015,258.0,0.0,42.0,3,0,2.0,1.0,3.0,24,1.0
115,2.0,547.0,160.86,0,0.0,42.0,33157,328.0,0.0,9.0,2,6,2.0,1.0,1.0,24,1.0
116,2.0,23.0,51.4,0,0.0,53.0,20774,1427.0,0.0,20.0,1,1,0.0,1.0,0.0,26,1.0
117,2.0,234.0,24.58,0,0.0,20.0,18202,1600.0,1.0,36.0,2,2,0.0,1.0,4.0,52,1.0
118,2.0,104.0,71.85,0,0.0,42.0,89084,790.0,1.0,31.0,2,0,0.0,1.0,0.0,26,1.0
119,2.0,981.0,350.1,0,0.0,57.0,92657,1023.0,1.0,4.0,2,0,2.0,1.0,1.0,52,1.0
120,2.0,618.0,193.6,0,0.0,22.0,33016,638.0,1.0,9.0,6,0,0.0,1.0,1.0,12,1.0
121,2.0,106.0,63.46,0,0.0,39.0,89129,790.0,1.0,31.0,3,5,6.0,1.0,0.0,26,1.0
122,2.0,1240.0,89.1,0,0.0,40.0,80231,363.0,1.0,5.0,1,0,2.0,0.0,4.0,52,1.0
123,2.0,170.0,62.89,0,0.0,66.0,28803,66.0,1.0,26.0,0,2,2.0,1.0,2.0,12,1.0
124,2.0,168.0,334.56,0,0.0,44.0,20841,142.0,1.0,20.0,2,0,6.0,1.0,2.0,12,1.0
125,2.0,1530.0,508.2,0,0.0,49.0,20747,373.0,0.0,20.0,7,0,2.0,1.0,1.0,12,1.0
126,1.0,229.0,54.66,0,0.0,39.0,89129,790.0,1.0,31.0,3,5,2.0,1.0,0.0,26,1.0
127,2.0,364.0,79.48,0,0.0,48.0,71459,504.0,1.0,18.0,6,0,6.0,1.0,3.0,24,1.0
128,2.0,97.0,25.97,0,0.0,47.0,76504,1489.0,0.0,41.0,6,11,5.0,1.0,4.0,52,1.0
129,1.0,380.0,85.75,0,0.0,35.0,44123,454.0,1.0,33.0,3,2,1.0,1.0,0.0,26,1.0
130,2.0,48.0,27.53,0,0.0,21.0,79764,1067.0,0.0,41.0,6,0,2.0,1.0,0.0,26,1.0
131,2.0,239.0,52.6,0,0.0,39.0,21009,4.0,0.0,20.0,1,0,6.0,1.0,0.0,26,1.0
132,2.0,143.0,26.95,0,0.0,37.0,97882,1535.0,1.0,35.0,1,0,2.0,1.0,3.0,24,1.0
133,2.0,57.0,93.12,0,0.0,50.0,10467,159.0,1.0,32.0,2,2,2.0,1.0,3.0,24,1.0
134,2.0,380.0,65.11,0,0.0,27.0,90720,844.0,1.0,4.0,2,6,0.0,1.0,0.0,26,1.0
135,2.0,156.0,28.67,0,0.0,59.0,50220,1139.0,1.0,12.0,1,0,2.0,1.0,0.0,24,1.0
136,2.0,107.0,12.98,0,0.0,22.0,44072,1055.0,1.0,33.0,2,0,5.0,1.0,0.0,26,1.0
137,2.0,548.0,35.42,0,0.0,24.0,10705,1670.0,0.0,32.0,6,0,2.0,1.0,4.0,52,1.0
138,2.0,249.0,26.23,0,0.0,59.0,50220,1139.0,1.0,12.0,1,0,5.0,1.0,4.0,24,1.0
139,2.0,233.0,163.62,0,0.0,36.0,28054,542.0,1.0,26.0,2,0,6.0,0.0,0.0,26,1.0
140,1.0,66.0,163.74,0,0.0,36.0,28054,542.0,1.0,26.0,2,0,0.0,1.0,0.0,26,1.0
141,2.0,1009.0,100.99,0,0.0,25.0,75208,335.0,1.0,41.0,3,0,2.0,1.0,4.0,52,1.0
142,2.0,800.0,249.66,0,0.0,32.0,84081,1601.0,1.0,42.0,3,0,2.0,1.0,1.0,26,1.0
143,2.0,178.0,21.99,0,0.0,27.0,84315,662.0,1.0,42.0,3,0,2.0,1.0,0.0,26,1.0
144,2.0,247.0,48.35,0,0.0,26.0,77584,1130.0,1.0,41.0,0,1,2.0,1.0,0.0,26,1.0
145,2.0,669.0,308.72,0,0.0,31.0,95825,1297.0,1.0,4.0,3,0,2.0,1.0,1.0,12,1.0
146,2.0,734.0,232.84,0,0.0,53.0,44125,264.0,0.0,33.0,1,0,2.0,1.0,1.0,12,1.0
147,2.0,267.0,105.78,0,0.0,54.0,44128,264.0,0.0,33.0,0,7,2.0,1.0,1.0,12,1.0
148,2.0,39.0,36.1,0,0.0,47.0,46901,752.0,1.0,15.0,1,0,2.0,1.0,0.0,26,1.0
149,2.0,1433.0,500.16,0,0.0,51.0,20024,1581.0,1.0,7.0,6,0,2.0,1.0,1.0,26,1.0
150,2.0,343.0,30.65,0,0.0,36.0,84081,1601.0,0.0,42.0,1,0,2.0,1.0,4.0,26,1.0
151,2.0,1201.0,158.43,0,0.0,32.0,91730,1215.0,1.0,4.0,4,3,6.0,1.0,0.0,26,1.0
152,2.0,330.0,99.81,0,0.0,19.0,21227,89.0,1.0,20.0,5,7,2.0,1.0,1.0,26,1.0
153,2.0,1230.0,92.46,0,0.0,35.0,20879,530.0,1.0,20.0,0,6,2.0,1.0,4.0,52,1.0
154,2.0,91.0,60.92,0,0.0,22.0,66101,724.0,1.0,16.0,6,0,2.0,1.0,0.0,26,1.0
155,1.0,385.0,73.95,0,0.0,23.0,76067,944.0,0.0,41.0,5,0,2.0,1.0,0.0,26,1.0
156,1.0,82.0,181.59,0,0.0,42.0,77590,1499.0,1.0,41.0,6,0,2.0,1.0,1.0,12,1.0
157,2.0,329.0,49.17,0,0.0,57.0,76068,944.0,0.0,41.0,6,0,6.0,1.0,0.0,26,1.0
158,2.0,585.0,81.44,0,0.0,63.0,77304,291.0,0.0,41.0,2,0,2.0,1.0,0.0,52,1.0
159,2.0,768.0,149.83,0,0.0,27.0,11207,162.0,0.0,32.0,5,0,2.0,1.0,0.0,26,1.0
160,1.0,204.0,230.04,0,0.0,22.0,76104,510.0,1.0,41.0,6,0,2.0,1.0,1.0,12,1.0
161,2.0,475.0,231.81,0,0.0,24.0,30736,1251.0,1.0,10.0,6,0,5.0,1.0,1.0,52,1.0
162,1.0,314.0,130.77,0,0.0,24.0,78573,947.0,1.0,41.0,6,0,2.0,1.0,2.0,24,1.0
163,2.0,433.0,107.96,0,0.0,29.0,32810,1083.0,1.0,9.0,0,7,0.0,1.0,3.0,52,1.0
164,1.0,51.0,430.36,0,0.0,42.0,30106,74.0,1.0,10.0,2,3,5.0,0.0,1.0,12,1.0
165,2.0,577.0,190.52,0,0.0,25.0,89014,628.0,0.0,31.0,1,0,2.0,1.0,1.0,12,1.0
166,2.0,246.0,133.51,0,0.0,69.0,93307,85.0,1.0,4.0,1,0,2.0,1.0,1.0,12,1.0
167,2.0,160.0,80.26,0,0.0,46.0,98512,1075.0,1.0,45.0,2,1,2.0,1.0,0.0,26,1.0
168,2.0,978.0,63.68,0,0.0,34.0,93313,85.0,1.0,4.0,6,0,2.0,1.0,4.0,52,1.0
169,2.0,66.0,17.37,0,0.0,29.0,84124,936.0,1.0,42.0,5,0,5.0,1.0,4.0,52,1.0
170,2.0,24.0,32.29,0,0.0,27.0,76539,734.0,1.0,41.0,3,0,5.0,1.0,0.0,26,1.0
171,0.0,88.0,102.86,0,0.0,44.0,30127,1192.0,1.0,10.0,6,6,2.0,1.0,0.0,26,1.0
172,2.0,375.0,55.38,0,0.0,27.0,46254,687.0,1.0,15.0,1,2,2.0,1.0,0.0,26,1.0
173,2.0,548.0,84.12,0,0.0,36.0,79928,428.0,1.0,41.0,4,0,2.0,1.0,4.0,52,1.0
174,2.0,178.0,174.42,0,0.0,35.0,85018,1147.0,1.0,3.0,2,5,0.0,1.0,3.0,24,1.0
175,2.0,69.0,89.08,0,0.0,49.0,67502,679.0,1.0,16.0,2,0,2.0,1.0,3.0,24,1.0
176,2.0,1570.0,250.86,0,0.0,42.0,77545,518.0,1.0,41.0,10,3,0.0,0.0,3.0,26,1.0
177,2.0,1228.0,286.45,0,0.0,73.0,30013,295.0,1.0,10.0,6,0,2.0,1.0,1.0,12,1.0
178,2.0,367.0,158.29,0,0.0,36.0,75227,335.0,0.0,41.0,6,0,6.0,1.0,3.0,24,1.0
179,2.0,106.0,151.65,0,0.0,46.0,83423,386.0,0.0,13.0,1,4,2.0,1.0,0.0,26,1.0
180,2.0,743.0,238.56,0,0.0,37.0,19601,1227.0,1.0,36.0,2,0,2.0,1.0,1.0,52,1.0
181,2.0,1569.0,529.89,0,0.0,42.0,34758,750.0,0.0,9.0,6,0,6.0,1.0,1.0,26,1.0
182,0.0,698.0,275.0,0,0.0,30.0,85023,1147.0,1.0,3.0,6,0,0.0,1.0,1.0,12,1.0
183,2.0,101.0,41.77,0,0.0,36.0,66030,537.0,1.0,16.0,6,0,2.0,1.0,4.0,52,1.0
184,2.0,83.0,112.78,0,0.0,58.0,31204,862.0,1.0,10.0,6,10,6.0,1.0,0.0,26,1.0
185,2.0,560.0,83.79,0,0.0,28.0,84015,1465.0,1.0,42.0,3,3,2.0,1.0,0.0,26,1.0
186,2.0,577.0,59.46,0,0.0,32.0,85018,1147.0,0.0,3.0,1,0,2.0,0.0,4.0,52,1.0
187,2.0,128.0,63.62,0,0.0,62.0,90028,845.0,1.0,4.0,6,0,0.0,1.0,2.0,12,1.0
188,2.0,115.0,31.14,0,0.0,55.0,85710,1526.0,1.0,3.0,2,0,6.0,1.0,0.0,26,1.0
189,2.0,388.0,273.82,0,0.0,56.0,80911,282.0,0.0,5.0,3,0,2.0,1.0,1.0,12,1.0
190,1.0,856.0,188.64,0,0.0,32.0,20784,681.0,1.0,20.0,6,0,2.0,1.0,0.0,26,1.0
191,0.0,329.0,39.35,0,0.0,34.0,90706,108.0,1.0,4.0,30,0,6.0,1.0,4.0,52,1.0
192,1.0,735.0,286.97,0,0.0,54.0,30052,836.0,0.0,10.0,2,0,2.0,1.0,1.0,12,1.0
193,2.0,150.0,108.29,0,0.0,30.0,71303,22.0,1.0,18.0,3,2,2.0,1.0,1.0,12,1.0
194,2.0,317.0,31.88,0,0.0,37.0,79764,1067.0,0.0,41.0,6,0,2.0,1.0,4.0,52,1.0
195,2.0,141.0,18.67,0,0.0,22.0,90280,1402.0,0.0,4.0,5,0,2.0,1.0,0.0,26,1.0
196,1.0,85.0,68.18,0,0.0,54.0,33578,1261.0,1.0,9.0,6,0,0.0,1.0,0.0,26,1.0
197,0.0,864.0,68.25,0,0.0,23.0,92595,1627.0,0.0,4.0,5,5,6.0,1.0,4.0,52,1.0
198,2.0,441.0,32.6,0,0.0,36.0,95035,940.0,0.0,4.0,2,3,0.0,1.0,4.0,52,1.0
199,2.0,446.0,94.48,0,0.0,56.0,92264,1109.0,0.0,4.0,0,1,2.0,1.0,3.0,24,1.0
200,2.0,5.0,14.55,0,0.0,37.0,76543,742.0,1.0,41.0,0,6,5.0,1.0,4.0,52,1.0
201,2.0,233.0,30.68,0,0.0,23.0,90242,382.0,1.0,4.0,6,11,2.0,1.0,0.0,26,1.0
202,2.0,225.0,26.77,0,0.0,45.0,64012,110.0,1.0,23.0,3,11,2.0,1.0,0.0,26,1.0
203,2.0,288.0,47.13,0,0.0,38.0,84404,1069.0,0.0,42.0,1,0,2.0,1.0,3.0,24,1.0
204,2.0,499.0,112.32,0,0.0,50.0,77493,727.0,1.0,41.0,4,6,2.0,1.0,0.0,26,1.0
205,2.0,344.0,100.58,0,0.0,27.0,77474,1360.0,1.0,41.0,1,0,2.0,1.0,1.0,12,1.0
206,2.0,556.0,50.34,0,0.0,29.0,76051,573.0,1.0,41.0,2,0,2.0,1.0,4.0,52,1.0
207,2.0,284.0,36.81,0,0.0,22.0,32773,1337.0,1.0,9.0,2,0,2.0,1.0,0.0,26,1.0
208,2.0,1046.0,138.5,0,0.0,27.0,75110,309.0,0.0,41.0,3,0,2.0,1.0,0.0,26,1.0
209,2.0,1560.0,170.65,0,0.0,38.0,77338,671.0,1.0,41.0,4,5,2.0,1.0,0.0,26,1.0
210,2.0,297.0,193.33,0,0.0,40.0,73044,586.0,1.0,34.0,6,0,2.0,1.0,1.0,24,1.0
211,1.0,290.0,115.67,0,0.0,40.0,90280,1402.0,1.0,4.0,6,0,2.0,1.0,0.0,52,1.0
212,2.0,70.0,132.02,0,0.0,67.0,80917,282.0,1.0,5.0,4,3,0.0,1.0,1.0,12,1.0
213,2.0,552.0,74.96,0,0.0,21.0,92649,672.0,1.0,4.0,2,0,2.0,1.0,0.0,26,1.0
214,2.0,98.0,58.22,0,0.0,39.0,19141,1146.0,0.0,36.0,6,2,2.0,1.0,3.0,24,1.0
215,2.0,57.0,70.66,0,0.0,48.0,27292,816.0,1.0,26.0,6,0,0.0,1.0,0.0,26,1.0
216,2.0,1151.0,381.74,0,0.0,55.0,98597,1668.0,0.0,45.0,2,1,2.0,1.0,1.0,12,1.0
217,2.0,457.0,132.97,0,0.0,68.0,78416,308.0,1.0,41.0,6,0,2.0,1.0,1.0,12,1.0
218,2.0,734.0,457.79,0,0.0,25.0,79763,1067.0,1.0,41.0,3,6,2.0,1.0,1.0,26,1.0
219,2.0,72.0,78.9,0,0.0,54.0,95219,1446.0,1.0,4.0,2,0,6.0,1.0,0.0,26,1.0
220,2.0,200.0,26.15,0,0.0,25.0,95122,1325.0,1.0,4.0,3,4,2.0,1.0,0.0,26,1.0
221,2.0,393.0,25.98,0,0.0,38.0,6902,1435.0,1.0,6.0,2,0,2.0,1.0,4.0,52,1.0
222,2.0,598.0,149.54,0,0.0,31.0,32065,1081.0,0.0,9.0,0,6,2.0,1.0,0.0,26,1.0
223,2.0,309.0,40.72,0,0.0,29.0,11798,1661.0,1.0,32.0,6,6,5.0,1.0,0.0,26,1.0
